Wed Dec 23 10:53:59 Log file reset
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\TM_CYLND.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\TM_DIODE.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\TM_DISC.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\TM_RAD.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\TO.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\TRAINING.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\VRES.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\WCON100T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\XT.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\ZIGZAG.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\BCON100T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\BCON156T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\BGA.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\CLCC.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\DCON050T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\DCON085T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\DIMM050F.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\DIMM050T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\DIN.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\DIP100B.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\DIP100T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\DSUBT.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\DSUBT_HD.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\ECON100T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\EMPTY.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\EX_GUI.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\FBUS.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\ISA.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\JUMPER.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\LAYOUT.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\LCON100T.LLB
